,col1,ra,dec,type,u,g,r,i,z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,specobjid,redshift,redshiftErr,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_flux_err,h_beta_flux_err,oiii_5007_flux_err,nii_6584_flux_err,sii_6717_flux_err,sii_6731_flux_err,oi_6300_flux_err,logMass,logMass_err,Log_NII_on_Halpha,Log_OIII_on_Hbeta,Log_NII_on_Halpha_err,Log_OIII_on_Hbeta_err,Category
824,1423,229.781476532252,26.130733397765795,3,18.580433,16.96749,16.172863,15.74026,15.430266,0.0327378,0.004525724,0.0038604697,0.00385534,0.008971575,2432039246593288192,0.044734914,7.764604e-06,709.07666,172.57608,1326.517,606.20447,223.21739,173.74156,57.60465,7.492736,4.4170446,11.654738,6.2214365,4.433298,4.081097,3.2214458,10.574875895986818,0.0630913729157334,-0.06807405593043885,0.8857322201306903,0.014730478861600548,0.027060771825005256,Seyfert
825,1424,230.30720894019817,26.782458709507573,3,19.269388,17.942904,17.339151,16.976017,16.748953,0.0370429,0.006707075,0.0059008505,0.0064798137,0.01479546,2432043644639799296,0.105375975,7.866481e-06,389.40433,90.3856,48.898834,152.2157,64.26054,50.183224,8.704156,5.009556,2.7485497,2.7333796,3.789171,2.600726,2.5797396,1.9395514,10.315240800154,0.1210688094701427,-0.4079413271426571,-0.2668007418826083,0.028021107891488234,0.06363471991532917,SF
826,1425,230.54697776245013,26.04138993209833,3,19.618664,18.068932,17.148714,16.682295,16.346073,0.057476446,0.0076241195,0.0055301064,0.0051574577,0.011814021,2432075530477004800,0.12821068,1.9305273e-05,127.85751,32.448994,9.357708,61.22634,26.137297,15.125574,2.0224383,3.880059,2.822135,2.7157922,3.1037269,2.8131628,3.1440325,2.1501305,11.213095191646469,0.0408193463096794,-0.31978794350802225,-0.5400317478835034,0.05908190941234727,0.30297122505149693,SF
827,1426,231.75264344579352,26.450130516060177,3,17.602268,16.316008,15.83889,15.583955,15.591307,0.024139306,0.0049622804,0.0045653703,0.0054508955,0.019885542,2432100269488629760,0.03317924,9.907761e-06,114.11276,30.681421,17.691437,30.111525,33.872307,23.123116,5.399996,2.231891,1.8671241,1.7527083,1.5147183,1.8266846,1.5849493,1.3417956,9.7300867465863,0.0087831426695169,-0.5786014586644685,-0.2391123597183316,0.05397215409948081,0.1162687324427773,SF
828,1430,232.2039820126504,26.353433028270377,3,19.296282,17.744915,16.944351,16.548046,16.256674,0.033876564,0.006147937,0.004746832,0.004866813,0.010455173,2432109890215372800,0.07441072,1.2385338e-05,127.0494,39.48022,32.486675,68.83296,35.60785,28.303648,4.8057275,3.5441887,2.8773758,3.0665834,3.0825682,2.888154,2.968134,2.4042585,10.498152356920388,0.0710271702156322,-0.26617617263318827,-0.08467430034269344,0.05276116368941224,0.1192566300128334,Comp.
829,1431,232.07590740388457,25.916093524851245,3,17.272861,16.004072,15.309846,14.822974,14.566276,0.0165966,0.0032865964,0.0028687357,0.0027122768,0.005494235,2432119236064208896,0.0677855,5.2368823e-06,2607.9707,449.3261,128.69785,1254.6683,406.64288,333.167,90.028786,21.305628,6.7708445,5.2080846,11.096904,7.359618,6.957335,4.7059755,11.235539182968044,0.0034759086712431,-0.31777378247790455,-0.5429903544542393,0.012040124203522648,0.043182087360518796,SF
830,1432,232.35279386441647,25.996637956266586,3,17.638601,16.806078,16.53503,16.4711,16.47968,0.020896634,0.0056164414,0.0062919846,0.009238419,0.03943042,2435421618198046720,0.0067694276,5.5859327e-06,214.40436,64.48152,101.476265,10.526575,24.289265,17.209604,3.6624177,3.271309,2.5950608,3.0998933,1.5409738,1.5263246,1.4836873,1.4273684,7.775434044445856,0.0094328167555199,-1.308946523584638,0.19692920753724857,0.14718188768942705,0.05052564365254052,SF
831,1433,230.1070308615124,26.22402801825637,3,19.225636,17.517897,16.481514,16.009161,15.623372,0.05067289,0.006253051,0.00434571,0.004098315,0.008711425,2432049142197938176,0.120192066,2.5263265e-05,96.969086,21.55173,14.29547,51.770267,9.51112,6.675398,5.38535,6.112574,4.0899863,3.9480145,5.300014,4.3709483,3.9362621,3.451981,11.43442177583168,0.0253911979764822,-0.27255289728852594,-0.17828369910682645,0.12022623677937122,0.3350908431204622,Comp.
832,1434,231.9980897043569,28.24898212876974,3,18.692513,17.260403,16.567318,16.158104,15.89708,0.03521779,0.007120701,0.0056259283,0.005445765,0.012700322,2080763428409993216,0.08685239,1.3770272e-05,102.66773,19.279833,6.1492915,43.835606,21.240786,4.107677,3.475878,2.4426644,1.8194926,1.8654997,2.0228732,2.1073618,3.712032,1.5405122,10.84298749965134,0.0370307099715774,-0.36960694502441543,-0.49627818701079585,0.05191901450308562,0.3177082279584635,SF
833,1436,228.36191321102424,26.048515303841143,3,19.407362,18.192383,17.637136,17.274202,17.083363,0.031284656,0.0067917434,0.0058336873,0.005816661,0.0137492195,2425190949391984640,0.07775842,7.8623125e-06,496.6446,135.24167,48.701767,196.78885,93.830925,62.10572,12.449474,5.896656,3.5925996,3.070705,3.5344355,3.3104703,2.8471715,2.0837379,10.205819112747823,0.0399440002709142,-0.40204522997297076,-0.44356580631517106,0.0215301914201786,0.06841868142351502,SF
